date,open,high,low,close,MA,MA,Volume,Volume MA,OnBalanceVolume,RSI
2019-06-03T00:00:00Z,269.24,270.3,246.6,249.55,NaN,204.0982,156011.2168,254672.5525,6100638.447,54.50139168
2019-06-04T00:00:00Z,249.4,250.99,233,240.93,NaN,205.712,237867.3047,239694.4085,5862771.142,50.64498823
2019-06-05T00:00:00Z,240.95,249,237.55,246.32,NaN,207.3108,140417.1453,205594.1231,6003188.287,52.88968194
2019-06-06T00:00:00Z,246.28,251.29,235.32,249.4,NaN,208.968,127820.3253,182649.7601,6131008.613,54.17230912
2019-06-07T00:00:00Z,249.54,254.4,244.84,249.49,NaN,210.4748,120802.1571,180363.3296,6251810.77,54.211539
2019-06-08T00:00:00Z,249.47,251.17,241.52,244.3,NaN,211.8842,53536.03966,169470.08,6198274.73,51.4750407
2019-06-09T00:00:00Z,244.3,244.97,226.56,231.3,212.1782,213.0356,127013.2646,163051.4992,6071261.466,45.3059724
2019-06-10T00:00:00Z,231.36,248.16,227.52,247.84,NaN,214.5944,124592.5395,157220.2274,6195854.005,53.02048123
2019-06-11T00:00:00Z,247.75,249.38,237.33,245.11,NaN,216.065,105247.985,151242.2689,6090606.02,51.72369106
2019-06-12T00:00:00Z,245.16,263.81,243.01,262.92,NaN,217.9206,163750.6341,150769.1097,6254356.654,58.80281535
2019-06-13T00:00:00Z,262.89,264.75,254.2,255.4,NaN,219.7136,132862.5219,149208.1224,6121494.132,55.12704161
2019-06-14T00:00:00Z,255.29,266.21,252.42,263.8,NaN,221.9486,130707.8806,152266.032,6252202.013,58.26533614
2019-06-15T00:00:00Z,263.83,273.3,261.57,269.29,NaN,224.2662,104725.0206,149478.3986,6356927.033,60.22334649
2019-06-16T00:00:00Z,269.26,278.83,263.02,268.33,208.5162,226.5196,129767.8641,144916.7155,6227159.169,59.69593884
2019-06-17T00:00:00Z,268.35,275.93,267.69,273.97,NaN,228.9352,110046.6634,144736.5744,6337205.833,61.81187438
2019-06-18T00:00:00Z,273.9,274.24,261,264.37,NaN,231.1754,123601.2147,143566.6934,6213604.618,56.38563542
2019-06-19T00:00:00Z,264.27,270.07,263.36,268.79,NaN,233.3432,91888.69088,127653.5872,6305493.309,58.2048688
2019-06-20T00:00:00Z,268.88,274.84,266.51,272,NaN,235.6172,79241.95088,122119.5218,6384735.26,59.52528284
2019-06-21T00:00:00Z,272,299,272,296.25,NaN,238.3682,266126.4916,129279.9141,6650861.751,67.80119069
