,Date,Fear and Greed Value,Fear and Greed Classification,Bitcoin,Ethereum,S&P 500,Moving Avg FG Index
140,2018-06-18,27,Fear,6734.81982421875,518.8909912109375,2773.75,27.766666666666666
141,2018-06-19,32,Fear,6769.93994140625,537.9569702148438,2762.590087890625,27.766666666666666
142,2018-06-20,34,Fear,6776.5498046875,536.2680053710938,2767.320068359375,27.533333333333335
143,2018-06-21,37,Fear,6729.740234375,527.3670043945312,2749.760009765625,27.766666666666666
144,2018-06-22,28,Fear,6083.68994140625,465.8169860839844,2754.8798828125,27.833333333333332
145,2018-06-23,17,Extreme Fear,6162.47998046875,474.5199890136719,,27.5
146,2018-06-24,15,Extreme Fear,6173.22998046875,457.6719970703125,,27.166666666666668
147,2018-06-25,16,Extreme Fear,6249.18017578125,460.30999755859375,2717.070068359375,26.933333333333334
148,2018-06-26,21,Extreme Fear,6093.669921875,432.7720031738281,2723.06005859375,27.0
149,2018-06-27,18,Extreme Fear,6157.1298828125,442.364990234375,2699.6298828125,26.866666666666667
150,2018-06-28,20,Extreme Fear,5903.43994140625,422.364990234375,2716.31005859375,27.0
151,2018-06-29,16,Extreme Fear,6218.2998046875,436.0090026855469,2718.3701171875,26.266666666666666
152,2018-06-30,22,Extreme Fear,6404.0,455.17999267578125,,26.166666666666668
5,2018-07-01,27,Fear,6385.81982421875,453.9179992675781,,26.266666666666666
16,2018-07-02,27,Fear,6614.18017578125,475.34698486328125,2726.7099609375,26.266666666666666
43,2018-07-03,31,Fear,6529.58984375,464.19500732421875,2713.219970703125,25.966666666666665
73,2018-07-04,33,Fear,6597.5498046875,467.3179931640625,,25.7
99,2018-07-05,37,Fear,6639.14013671875,474.4119873046875,2736.610107421875,26.066666666666666
129,2018-07-06,34,Fear,6673.5,474.0119934082031,2759.820068359375,25.8
158,2018-07-07,34,Fear,6856.93017578125,491.6600036621094,,25.666666666666668
188,2018-07-08,38,Fear,6773.8798828125,489.1189880371094,,25.6
218,2018-07-09,39,Fear,6741.75,476.6820068359375,2784.169921875,25.6
247,2018-07-10,37,Fear,6329.9501953125,434.42401123046875,2793.840087890625,26.033333333333335
277,2018-07-11,29,Fear,6394.7099609375,446.51800537109375,2774.02001953125,26.5
306,2018-07-12,33,Fear,6228.81005859375,430.0740051269531,2798.2900390625,26.966666666666665
164,2018-07-13,29,Fear,6238.0498046875,434.0270080566406,2801.31005859375,27.3
165,2018-07-14,29,Fear,6276.1201171875,436.08599853515625,,27.7
166,2018-07-15,32,Fear,6359.64013671875,449.8500061035156,,27.9
167,2018-07-16,36,Fear,6741.75,480.6579895019531,2798.429931640625,28.366666666666667
168,2018-07-17,39,Fear,7321.0400390625,501.00201416015625,2809.550048828125,28.9
169,2018-07-18,42,Fear,7370.77978515625,480.51300048828125,2815.6201171875,29.4
170,2018-07-19,44,Fear,7466.85986328125,469.6189880371094,2804.489990234375,29.8
171,2018-07-20,47,Neutral,7354.1298828125,450.697998046875,2801.830078125,30.233333333333334
172,2018-07-21,43,Fear,7419.2900390625,462.4360046386719,,30.433333333333334
173,2018-07-22,46,Fear,7418.490234375,459.6570129394531,,31.033333333333335
