,Date,Fear and Greed Value,Fear and Greed Classification,Bitcoin,Ethereum,S&P 500,Moving Avg FG Index
311,2018-12-12,14,Extreme Fear,3486.9501953125,90.59329986572266,2651.070068359375,19.066666666666666
312,2018-12-13,14,Extreme Fear,3313.67724609375,86.53931427001953,2650.5400390625,17.666666666666668
313,2018-12-14,10,Extreme Fear,3242.48486328125,84.30829620361328,2599.949951171875,16.366666666666667
314,2018-12-15,11,Extreme Fear,3236.76171875,84.44081115722656,,15.8
315,2018-12-16,13,Extreme Fear,3252.839111328125,85.26210021972656,,15.466666666666667
316,2018-12-17,17,Extreme Fear,3545.86474609375,95.13382720947266,2545.93994140625,15.233333333333333
317,2018-12-18,23,Extreme Fear,3696.05908203125,101.11245727539062,2546.159912109375,15.133333333333333
318,2018-12-19,21,Extreme Fear,3745.95068359375,101.2685775756836,2506.9599609375,14.9
319,2018-12-20,27,Fear,4134.44140625,116.21687316894531,2467.419921875,15.1
320,2018-12-21,35,Fear,3896.543701171875,109.49623107910156,2416.6201171875,15.766666666666667
321,2018-12-22,28,Fear,4014.1826171875,116.7594985961914,,16.233333333333334
322,2018-12-23,31,Fear,3998.980224609375,130.7652587890625,,16.866666666666667
323,2018-12-24,25,Extreme Fear,4078.59912109375,140.23800659179688,2351.10009765625,17.2
324,2018-12-25,33,Fear,3815.49072265625,129.84434509277344,,18.0
325,2018-12-26,26,Fear,3857.297607421875,131.86563110351562,2467.699951171875,18.3
326,2018-12-27,29,Fear,3654.83349609375,116.57591247558594,2488.830078125,18.9
327,2018-12-28,21,Extreme Fear,3923.918701171875,137.6470184326172,2485.739990234375,19.133333333333333
328,2018-12-29,24,Extreme Fear,3820.40869140625,138.01834106445312,,19.333333333333332
329,2018-12-30,23,Extreme Fear,3865.95263671875,139.8594512939453,,19.466666666666665
330,2018-12-31,26,Fear,3742.700439453125,133.36825561523438,2506.85009765625,19.9
331,2019-01-01,24,Extreme Fear,3843.52001953125,140.8194122314453,,20.2
362,2019-01-02,30,Fear,3943.409423828125,155.0476837158203,2510.030029296875,20.633333333333333
390,2019-01-03,33,Fear,3836.7412109375,149.135009765625,2447.889892578125,21.333333333333332
421,2019-01-04,48,Neutral,3857.717529296875,154.58193969726562,2531.93994140625,22.3
451,2019-01-05,36,Fear,3845.194580078125,155.6385955810547,,23.066666666666666
482,2019-01-06,31,Fear,4076.632568359375,157.74620056152344,,23.733333333333334
512,2019-01-07,39,Fear,4025.248291015625,151.69921875,2549.68994140625,24.666666666666668
543,2019-01-08,39,Fear,4030.847900390625,150.35963439941406,2574.409912109375,25.5
574,2019-01-09,42,Fear,4035.29638671875,150.80311584472656,2584.9599609375,26.266666666666666
604,2019-01-10,37,Fear,3678.924560546875,128.62518310546875,2596.639892578125,27.0
635,2019-01-11,19,Extreme Fear,3687.365478515625,127.54832458496094,2596.260009765625,27.166666666666668
665,2019-01-12,22,Extreme Fear,3661.301025390625,125.9665298461914,,27.433333333333334
343,2019-01-13,21,Extreme Fear,3552.953125,116.8978042602539,,27.8
344,2019-01-14,16,Extreme Fear,3706.05224609375,129.0687255859375,2582.610107421875,27.966666666666665
345,2019-01-15,27,Fear,3630.67529296875,122.03271484375,2610.300048828125,28.433333333333334
346,2019-01-16,24,Extreme Fear,3655.0068359375,123.54706573486328,2616.10009765625,28.666666666666668
347,2019-01-17,28,Fear,3678.56396484375,123.7419204711914,2635.9599609375,28.833333333333332
348,2019-01-18,29,Fear,3657.83935546875,121.01026153564453,2670.7099609375,29.1
349,2019-01-19,31,Fear,3728.568359375,124.5190200805664,,29.233333333333334
350,2019-01-20,35,Fear,3601.013671875,119.4748306274414,,29.233333333333334
351,2019-01-21,30,Fear,3576.032470703125,117.15785217285156,,29.3
352,2019-01-22,27,Fear,3604.5771484375,118.74755096435547,2632.89990234375,29.166666666666668
353,2019-01-23,33,Fear,3585.123046875,117.45260620117188,2638.699951171875,29.433333333333334
354,2019-01-24,37,Fear,3600.865478515625,117.36288452148438,2642.330078125,29.566666666666666
355,2019-01-25,35,Fear,3599.765869140625,116.37834167480469,2664.760009765625,29.866666666666667
356,2019-01-26,41,Fear,3602.46044921875,116.48873901367188,,30.266666666666666
357,2019-01-27,39,Fear,3583.9658203125,113.40528869628906,,30.866666666666667
358,2019-01-28,35,Fear,3470.450439453125,106.58997344970703,2643.85009765625,31.233333333333334
359,2019-01-29,21,Extreme Fear,3448.116943359375,105.59821319580078,2640.0,31.166666666666668
360,2019-01-30,22,Extreme Fear,3486.181640625,108.90753936767578,2681.050048828125,31.033333333333335
361,2019-01-31,17,Extreme Fear,3457.792724609375,107.0610122680664,2704.10009765625,30.8
332,2019-02-01,23,Extreme Fear,3487.9453125,107.60978698730469,2706.530029296875,30.566666666666666
363,2019-02-02,22,Extreme Fear,3521.060791015625,110.43025970458984,,30.2
391,2019-02-03,19,Extreme Fear,3464.013427734375,107.49266815185547,,29.233333333333334
422,2019-02-04,27,Fear,3459.154052734375,107.82160186767578,2724.8701171875,28.933333333333334
452,2019-02-05,21,Extreme Fear,3466.357421875,107.44351959228516,2737.699951171875,28.6
483,2019-02-06,14,Extreme Fear,3413.767822265625,104.9192886352539,2731.610107421875,27.766666666666666
513,2019-02-07,18,Extreme Fear,3399.4716796875,104.5353012084961,2706.050048828125,27.066666666666666
544,2019-02-08,37,Fear,3666.7802734375,119.26774597167969,2707.8798828125,26.9
575,2019-02-09,42,Fear,3671.20361328125,119.4308853149414,,27.066666666666666
605,2019-02-10,40,Fear,3690.188232421875,124.80648803710938,,27.766666666666666
636,2019-02-11,46,Fear,3648.4306640625,121.29839324951172,2709.800048828125,28.566666666666666
666,2019-02-12,38,Fear,3653.528564453125,122.5722885131836,2744.72998046875,29.133333333333333
374,2019-02-13,48,Neutral,3632.070556640625,122.55360412597656,2753.030029296875,30.2
375,2019-02-14,48,Neutral,3616.880859375,121.39020538330078,2745.72998046875,30.9
376,2019-02-15,43,Fear,3620.810791015625,122.10038757324219,2775.60009765625,31.533333333333335
377,2019-02-16,43,Fear,3629.78759765625,123.26021575927734,,32.03333333333333
378,2019-02-17,38,Fear,3673.836181640625,133.598876953125,,32.333333333333336
379,2019-02-18,63,Greed,3915.71435546875,146.09837341308594,,33.4
380,2019-02-19,65,Greed,3947.094482421875,145.34619140625,2779.760009765625,34.4
381,2019-02-20,59,Greed,3999.820556640625,149.55433654785156,2784.699951171875,35.36666666666667
382,2019-02-21,59,Greed,3954.1181640625,146.13084411621094,2774.8798828125,36.43333333333333
383,2019-02-22,61,Greed,4005.526611328125,149.0924530029297,2792.669921875,37.36666666666667
384,2019-02-23,63,Greed,4142.52685546875,158.79542541503906,,38.233333333333334
385,2019-02-24,69,Greed,3810.427490234375,135.8526611328125,,39.36666666666667
386,2019-02-25,47,Neutral,3882.6962890625,139.82286071777344,2796.110107421875,39.56666666666667
387,2019-02-26,40,Fear,3854.35791015625,138.0896759033203,2793.89990234375,39.6
388,2019-02-27,39,Fear,3851.04736328125,136.12596130371094,2792.3798828125,39.733333333333334
389,2019-02-28,39,Fear,3854.785400390625,136.74624633789062,2784.489990234375,40.333333333333336
333,2019-03-01,42,Fear,3859.583740234375,136.44361877441406,2803.68994140625,41.0
364,2019-03-02,41,Fear,3864.4150390625,134.2069549560547,,41.8
392,2019-03-03,44,Fear,3847.17578125,132.24942016601562,,42.5
423,2019-03-04,36,Fear,3761.55712890625,127.77412414550781,2792.81005859375,42.96666666666667
453,2019-03-05,35,Fear,3896.375,137.8223876953125,2789.64990234375,43.5
484,2019-03-06,42,Fear,3903.942626953125,138.7893524169922,2771.449951171875,44.0
514,2019-03-07,56,Greed,3911.484375,138.0345001220703,2748.929931640625,45.166666666666664
545,2019-03-08,54,Neutral,3901.131591796875,135.1270751953125,2743.070068359375,46.5
576,2019-03-09,55,Greed,3963.313720703125,137.96533203125,,47.733333333333334
606,2019-03-10,55,Greed,3951.599853515625,136.75868225097656,,48.333333333333336
637,2019-03-11,56,Greed,3905.227294921875,133.8340301513672,2783.300048828125,48.8
667,2019-03-12,56,Greed,3909.15625,134.44288635253906,2791.52001953125,49.333333333333336
402,2019-03-13,54,Neutral,3906.71728515625,133.26307678222656,2810.919921875,49.6
403,2019-03-14,55,Greed,3924.369140625,133.7115936279297,2808.47998046875,50.166666666666664
404,2019-03-15,55,Greed,3960.9111328125,137.69178771972656,2822.47998046875,50.4
405,2019-03-16,54,Neutral,4048.725830078125,142.39817810058594,,50.6
406,2019-03-17,58,Greed,4025.22900390625,140.00054931640625,,51.1
407,2019-03-18,56,Greed,4032.50732421875,139.37460327148438,2832.93994140625,51.53333333333333
408,2019-03-19,56,Greed,4071.190185546875,140.51919555664062,2832.570068359375,52.13333333333333
409,2019-03-20,55,Greed,4087.476318359375,140.6863555908203,2824.22998046875,51.86666666666667
410,2019-03-21,62,Greed,4029.326904296875,136.6360626220703,2854.8798828125,51.766666666666666
411,2019-03-22,56,Greed,4023.96826171875,137.1814422607422,2800.7099609375,51.666666666666664
412,2019-03-23,50,Neutral,4035.826416015625,138.2398681640625,,51.36666666666667
413,2019-03-24,44,Fear,4022.168212890625,136.98692321777344,,50.8
414,2019-03-25,46,Fear,3963.070556640625,135.03102111816406,2798.360107421875,50.233333333333334
415,2019-03-26,43,Fear,3985.080810546875,135.46035766601562,2818.4599609375,49.36666666666667
416,2019-03-27,44,Fear,4087.066162109375,140.9881591796875,2805.3701171875,49.266666666666666
417,2019-03-28,49,Neutral,4069.107177734375,139.41647338867188,2815.43994140625,49.56666666666667
418,2019-03-29,50,Neutral,4098.37451171875,142.49742126464844,2834.39990234375,49.93333333333333
419,2019-03-30,57,Greed,4106.66015625,142.09268188476562,,50.53333333333333
420,2019-03-31,56,Greed,4105.404296875,141.51409912109375,,51.0
334,2019-04-01,62,Greed,4158.18310546875,141.830322265625,2867.18994140625,51.7
365,2019-04-02,60,Greed,4879.8779296875,163.9617462158203,2867.239990234375,52.233333333333334
393,2019-04-03,71,Greed,4973.02197265625,161.45880126953125,2873.39990234375,53.4
424,2019-04-04,61,Greed,4922.798828125,158.0525360107422,2879.389892578125,54.266666666666666
454,2019-04-05,59,Greed,5036.68115234375,165.5148468017578,2892.739990234375,54.833333333333336
485,2019-04-06,65,Greed,5059.8173828125,165.94720458984375,,55.13333333333333
515,2019-04-07,69,Greed,5198.89697265625,174.53164672851562,,55.63333333333333
546,2019-04-08,65,Greed,5289.77099609375,180.25881958007812,2895.77001953125,55.96666666666667
577,2019-04-09,64,Greed,5204.95849609375,176.1145782470703,2878.199951171875,56.266666666666666
607,2019-04-10,62,Greed,5324.5517578125,177.3374786376953,2888.2099609375,56.46666666666667
638,2019-04-11,65,Greed,5064.48779296875,165.4970245361328,2888.320068359375,56.766666666666666
668,2019-04-12,42,Fear,5089.5390625,164.736328125,2907.409912109375,56.36666666666667
433,2019-04-13,62,Greed,5096.58642578125,164.5133514404297,,56.6
434,2019-04-14,51,Neutral,5167.72216796875,167.83851623535156,,56.46666666666667
435,2019-04-15,60,Greed,5067.1083984375,161.5741729736328,2905.580078125,56.666666666666664
436,2019-04-16,50,Neutral,5235.5595703125,167.62344360351562,2907.06005859375,56.4
437,2019-04-17,61,Greed,5251.93798828125,166.9507598876953,2900.449951171875,56.56666666666667
438,2019-04-18,64,Greed,5298.3857421875,173.81402587890625,2905.030029296875,56.833333333333336
439,2019-04-19,61,Greed,5303.8125,173.70843505859375,,57.03333333333333
440,2019-04-20,62,Greed,5337.88623046875,173.7512664794922,,57.03333333333333
441,2019-04-21,62,Greed,5314.53125,170.04652404785156,,57.233333333333334
442,2019-04-22,61,Greed,5399.365234375,171.87466430664062,2907.969970703125,57.6
443,2019-04-23,68,Greed,5572.3623046875,171.4477996826172,2933.679931640625,58.4
444,2019-04-24,65,Greed,5464.86669921875,165.8260955810547,2927.25,59.03333333333333
445,2019-04-25,58,Greed,5210.515625,154.4593963623047,2926.169921875,59.53333333333333
446,2019-04-26,41,Fear,5279.34814453125,156.3470916748047,2939.8798828125,59.43333333333333
447,2019-04-27,42,Fear,5268.291015625,158.4349365234375,,59.2
448,2019-04-28,40,Fear,5285.13916015625,157.29507446289062,,58.86666666666667
449,2019-04-29,42,Fear,5247.3525390625,155.20199584960938,2943.030029296875,58.36666666666667
450,2019-04-30,42,Fear,5350.7265625,162.16603088378906,2945.830078125,57.9
335,2019-05-01,51,Neutral,5402.697265625,160.81834411621094,2923.72998046875,57.53333333333333
366,2019-05-02,50,Neutral,5505.28369140625,162.12278747558594,2917.52001953125,57.2
394,2019-05-03,63,Greed,5768.28955078125,167.95240783691406,2945.639892578125,56.93333333333333
425,2019-05-04,66,Greed,5831.16748046875,164.02658081054688,,57.1
455,2019-05-05,67,Greed,5795.70849609375,163.45069885253906,,57.36666666666667
486,2019-05-06,57,Greed,5746.80712890625,172.65321350097656,2932.469970703125,57.1
516,2019-05-07,69,Greed,5829.50146484375,169.7986602783203,2884.050048828125,57.1
547,2019-05-08,63,Greed,5982.45751953125,170.9481658935547,2879.419921875,57.03333333333333
578,2019-05-09,69,Greed,6174.52880859375,170.289306640625,2870.719970703125,57.2
608,2019-05-10,71,Greed,6378.84912109375,173.1427459716797,2881.39990234375,57.5
639,2019-05-11,76,Extreme Greed,7204.771484375,194.30433654785156,,57.86666666666667
669,2019-05-12,75,Greed,6972.37158203125,187.3253173828125,,58.96666666666667
463,2019-05-13,78,Extreme Greed,7814.9150390625,196.84628295898438,2811.8701171875,59.5
464,2019-05-14,78,Extreme Greed,7994.416015625,217.14857482910156,2834.409912109375,60.4
465,2019-05-15,77,Extreme Greed,8205.16796875,247.15306091308594,2850.9599609375,60.96666666666667
466,2019-05-16,75,Greed,7884.9091796875,264.010009765625,2876.320068359375,61.8
467,2019-05-17,65,Greed,7343.8955078125,243.76458740234375,2859.530029296875,61.93333333333333
468,2019-05-18,67,Greed,7271.2080078125,234.59523010253906,,62.03333333333333
469,2019-05-19,70,Greed,8197.689453125,261.2922058105469,,62.333333333333336
470,2019-05-20,73,Greed,7978.30908203125,251.86441040039062,2840.22998046875,62.7
471,2019-05-21,68,Greed,7963.32763671875,255.21588134765625,2864.360107421875,62.9
472,2019-05-22,69,Greed,7680.06640625,244.69891357421875,2856.27001953125,63.166666666666664
473,2019-05-23,65,Greed,7881.8466796875,245.96566772460938,2822.239990234375,63.06666666666667
474,2019-05-24,64,Greed,7987.37158203125,249.4849853515625,2826.06005859375,63.03333333333333
475,2019-05-25,69,Greed,8052.5439453125,251.75987243652344,,63.4
476,2019-05-26,67,Greed,8673.2158203125,267.06964111328125,,64.26666666666667
477,2019-05-27,70,Greed,8805.7783203125,272.8626403808594,,65.2
478,2019-05-28,71,Greed,8719.9619140625,271.7687072753906,2802.389892578125,66.23333333333333
479,2019-05-29,71,Greed,8659.4873046875,269.4556884765625,2783.02001953125,67.2
480,2019-05-30,73,Greed,8319.47265625,255.85894775390625,2788.860107421875,68.23333333333333
481,2019-05-31,61,Greed,8574.501953125,268.1135559082031,2752.06005859375,68.56666666666666
336,2019-06-01,62,Greed,8564.0166015625,265.3912658691406,,68.96666666666667
367,2019-06-02,63,Greed,8742.9580078125,270.22552490234375,,68.96666666666667
395,2019-06-03,66,Greed,8208.9951171875,252.60792541503906,2744.449951171875,68.96666666666667
426,2019-06-04,42,Fear,7707.77099609375,241.3387908935547,2803.27001953125,68.13333333333334
456,2019-06-05,27,Fear,7824.2314453125,247.05101013183594,2826.14990234375,67.13333333333334
487,2019-06-06,34,Fear,7822.0234375,249.47433471679688,2843.489990234375,65.96666666666667
517,2019-06-07,27,Fear,8043.951171875,250.93035888671875,2873.340087890625,64.76666666666667
548,2019-06-08,62,Greed,7954.1279296875,245.73809814453125,,64.53333333333333
579,2019-06-09,62,Greed,7688.0771484375,233.08670043945312,,64.23333333333333
609,2019-06-10,46,Fear,8000.32958984375,247.52012634277344,2886.72998046875,63.233333333333334
640,2019-06-11,61,Greed,7927.71435546875,245.78182983398438,2885.719970703125,62.766666666666666
670,2019-06-12,60,Greed,8145.857421875,260.9032897949219,2879.840087890625,62.166666666666664
494,2019-06-13,63,Greed,8230.923828125,256.1687927246094,2891.639892578125,61.666666666666664
495,2019-06-14,67,Greed,8693.8330078125,264.08746337890625,2886.97998046875,61.333333333333336
496,2019-06-15,75,Greed,8838.375,269.0193176269531,,61.333333333333336
497,2019-06-16,80,Extreme Greed,8994.48828125,269.22320556640625,,61.833333333333336
498,2019-06-17,84,Extreme Greed,9320.3525390625,274.3511047363281,2889.669921875,62.4
499,2019-06-18,83,Extreme Greed,9081.7626953125,265.0518493652344,2917.75,62.833333333333336
500,2019-06-19,82,Extreme Greed,9273.521484375,269.4317932128906,2926.4599609375,63.13333333333333
501,2019-06-20,81,Extreme Greed,9527.16015625,271.69500732421875,2954.179931640625,63.56666666666667
502,2019-06-21,84,Extreme Greed,10144.556640625,294.9102783203125,2950.4599609375,64.06666666666666
503,2019-06-22,83,Extreme Greed,10701.69140625,309.38031005859375,,64.66666666666667
504,2019-06-23,84,Extreme Greed,10855.37109375,307.8277893066406,,65.33333333333333
505,2019-06-24,80,Extreme Greed,11011.1025390625,310.4246826171875,2945.35009765625,65.7
506,2019-06-25,87,Extreme Greed,11790.9169921875,318.1263122558594,2917.3798828125,66.36666666666666
507,2019-06-26,95,Extreme Greed,13016.2314453125,336.753173828125,2913.780029296875,67.2
508,2019-06-27,92,Extreme Greed,11182.806640625,294.26763916015625,2924.919921875,67.9
509,2019-06-28,62,Greed,12407.33203125,311.2261047363281,2941.760009765625,67.6
510,2019-06-29,74,Greed,11959.37109375,320.05889892578125,,67.63333333333334
511,2019-06-30,78,Extreme Greed,10817.1552734375,290.69598388671875,,68.2
337,2019-07-01,65,Greed,10583.134765625,293.64111328125,2964.330078125,68.3
368,2019-07-02,63,Greed,10801.677734375,291.596435546875,2973.010009765625,68.3
396,2019-07-03,79,Extreme Greed,11961.26953125,303.0999755859375,2995.820068359375,68.73333333333333
427,2019-07-04,76,Extreme Greed,11215.4375,284.5232238769531,,69.86666666666666
457,2019-07-05,67,Greed,10978.4599609375,287.9975280761719,2990.409912109375,71.2
488,2019-07-06,72,Greed,11208.55078125,287.547119140625,,72.46666666666667
518,2019-07-07,67,Greed,11450.8466796875,305.7005615234375,,73.8
549,2019-07-08,74,Greed,12285.9580078125,313.25140380859375,2975.949951171875,74.2
580,2019-07-09,84,Extreme Greed,12573.8125,308.8810119628906,2979.6298828125,74.93333333333334
610,2019-07-10,83,Extreme Greed,12156.5126953125,290.0023193359375,2993.070068359375,76.16666666666667
641,2019-07-11,62,Greed,11358.662109375,268.70404052734375,2999.909912109375,76.2
671,2019-07-12,33,Fear,11815.986328125,276.2767028808594,3013.77001953125,75.3
524,2019-07-13,65,Greed,11392.37890625,269.45880126953125,,75.36666666666666
525,2019-07-14,61,Greed,10256.05859375,227.57806396484375,,75.16666666666667
526,2019-07-15,16,Extreme Fear,10895.08984375,229.7760009765625,3014.300048828125,73.2
527,2019-07-16,34,Fear,9477.6416015625,199.1886749267578,3004.0400390625,71.66666666666667
528,2019-07-17,19,Extreme Fear,9693.802734375,211.48497009277344,2984.419921875,69.5
529,2019-07-18,40,Fear,10666.482421875,226.566162109375,2995.110107421875,68.06666666666666
530,2019-07-19,42,Fear,10530.732421875,221.3334197998047,2976.610107421875,66.73333333333333
531,2019-07-20,34,Fear,10767.1396484375,229.1192169189453,,65.16666666666667
532,2019-07-21,42,Fear,10599.10546875,225.63076782226562,,63.766666666666666
533,2019-07-22,42,Fear,10343.1064453125,217.5600128173828,2985.030029296875,62.4
534,2019-07-23,40,Fear,9900.767578125,212.728515625,3005.469970703125,60.93333333333333
535,2019-07-24,20,Extreme Fear,9811.92578125,217.04637145996094,3019.56005859375,58.93333333333333
536,2019-07-25,42,Fear,9911.841796875,219.6179962158203,3003.669921875,57.43333333333333
537,2019-07-26,24,Extreme Fear,9870.3037109375,219.62960815429688,3025.860107421875,55.06666666666667
538,2019-07-27,47,Neutral,9477.677734375,207.40830993652344,,53.56666666666667
539,2019-07-28,16,Extreme Fear,9552.8603515625,211.18655395507812,,52.03333333333333
540,2019-07-29,19,Extreme Fear,9519.1455078125,211.26805114746094,3020.969970703125,50.2
541,2019-07-30,22,Extreme Fear,9607.423828125,210.52259826660156,3013.179931640625,48.333333333333336
542,2019-07-31,31,Fear,10085.6279296875,218.65414428710938,2980.3798828125,47.2
338,2019-08-01,57,Greed,10399.6689453125,217.80844116210938,2953.56005859375,47.0
369,2019-08-02,61,Greed,10518.1748046875,217.87156677246094,2932.050048828125,46.4
397,2019-08-03,61,Greed,10821.7265625,222.49034118652344,,45.9
428,2019-08-04,62,Greed,10970.1845703125,222.6697235107422,,45.733333333333334
458,2019-08-05,64,Greed,11805.6533203125,234.21502685546875,2844.739990234375,45.46666666666667
489,2019-08-06,66,Greed,11478.1689453125,226.02064514160156,2881.77001953125,45.43333333333333
519,2019-08-07,45,Fear,11941.96875,226.39100646972656,2883.97998046875,44.46666666666667
550,2019-08-08,61,Greed,11966.4072265625,220.94186401367188,2938.090087890625,43.7
581,2019-08-09,60,Greed,11862.9365234375,210.48890686035156,2918.64990234375,42.93333333333333
611,2019-08-10,59,Greed,11354.0244140625,206.73353576660156,,42.833333333333336
642,2019-08-11,45,Fear,11523.5791015625,216.09286499023438,,43.233333333333334
672,2019-08-12,48,Neutral,11382.6162109375,211.28807067871094,2882.699951171875,42.666666666666664
555,2019-08-13,45,Fear,10895.830078125,208.70904541015625,2926.320068359375,42.13333333333333
556,2019-08-14,11,Extreme Fear,10051.7041015625,186.6077423095703,2840.60009765625,41.96666666666667
557,2019-08-15,13,Extreme Fear,10311.5458984375,188.50205993652344,2847.60009765625,41.266666666666666
558,2019-08-16,31,Fear,10374.3388671875,185.44007873535156,2888.679931640625,41.666666666666664
559,2019-08-17,20,Extreme Fear,10231.744140625,185.68768310546875,,41.0
560,2019-08-18,14,Extreme Fear,10345.810546875,194.4935302734375,,40.06666666666667
561,2019-08-19,30,Fear,10916.0537109375,203.09193420410156,2923.64990234375,39.93333333333333
562,2019-08-20,39,Fear,10763.232421875,196.56541442871094,2900.510009765625,39.833333333333336
563,2019-08-21,11,Extreme Fear,10138.0498046875,186.89163208007812,2924.429931640625,38.8
564,2019-08-22,5,Extreme Fear,10131.0556640625,191.33291625976562,2922.949951171875,37.63333333333333
565,2019-08-23,33,Fear,10407.96484375,194.70620727539062,2847.110107421875,38.06666666666667
566,2019-08-24,39,Fear,10159.9609375,191.28956604003906,,37.96666666666667
567,2019-08-25,33,Fear,10138.517578125,186.84239196777344,,38.266666666666666
568,2019-08-26,41,Fear,10370.8203125,188.92938232421875,2878.3798828125,38.06666666666667
569,2019-08-27,30,Fear,10185.5,187.51666259765625,2869.159912109375,38.53333333333333
570,2019-08-28,32,Fear,9754.4228515625,173.8899688720703,2887.93994140625,38.96666666666667
571,2019-08-29,20,Extreme Fear,9510.2001953125,169.51673889160156,2924.580078125,38.9
572,2019-08-30,24,Extreme Fear,9598.173828125,168.83486938476562,2926.4599609375,38.666666666666664
573,2019-08-31,20,Extreme Fear,9630.6640625,172.46978759765625,,37.43333333333333
339,2019-09-01,24,Extreme Fear,9757.970703125,171.62942504882812,,36.2
370,2019-09-02,28,Fear,10346.7607421875,178.34735107421875,,35.1
398,2019-09-03,41,Fear,10623.5400390625,179.49932861328125,2906.27001953125,34.4
429,2019-09-04,43,Fear,10594.4931640625,175.99288940429688,2937.780029296875,33.7
459,2019-09-05,41,Fear,10575.533203125,174.21713256835938,2976.0,32.86666666666667
490,2019-09-06,43,Fear,10353.302734375,169.9561767578125,2978.7099609375,32.8
520,2019-09-07,39,Fear,10517.2548828125,178.2626190185547,,32.06666666666667
551,2019-09-08,43,Fear,10441.2763671875,181.35552978515625,,31.5
582,2019-09-09,41,Fear,10334.974609375,181.1494598388672,2978.429931640625,30.9
612,2019-09-10,41,Fear,10115.9755859375,179.78717041015625,2979.389892578125,30.766666666666666
643,2019-09-11,38,Fear,10178.3720703125,178.72549438476562,3000.929931640625,30.433333333333334
673,2019-09-12,39,Fear,10410.126953125,181.01609802246094,3009.570068359375,30.233333333333334
586,2019-09-13,38,Fear,10360.546875,181.10972595214844,3007.389892578125,31.133333333333333
587,2019-09-14,39,Fear,10358.048828125,188.1055145263672,,32.0
588,2019-09-15,38,Fear,10347.712890625,189.78912353515625,,32.233333333333334
589,2019-09-16,38,Fear,10276.7939453125,197.11317443847656,2997.9599609375,32.833333333333336
590,2019-09-17,41,Fear,10241.2724609375,208.60874938964844,3005.699951171875,33.733333333333334
591,2019-09-18,38,Fear,10198.248046875,211.39303588867188,3006.72998046875,34.0
592,2019-09-19,31,Fear,10266.4150390625,221.28085327148438,3006.7900390625,33.733333333333334
593,2019-09-20,41,Fear,10181.6416015625,218.050048828125,2992.070068359375,34.733333333333334
594,2019-09-21,37,Fear,10019.716796875,215.51620483398438,,35.8
595,2019-09-22,37,Fear,10070.392578125,211.54537963867188,,35.93333333333333
596,2019-09-23,41,Fear,9729.32421875,201.9213104248047,2991.780029296875,36.0
597,2019-09-24,39,Fear,8620.56640625,168.11073303222656,2966.60009765625,36.2
598,2019-09-25,15,Extreme Fear,8486.9931640625,170.8927001953125,2984.8701171875,35.333333333333336
599,2019-09-26,12,Extreme Fear,8118.9677734375,166.7271270751953,2977.6201171875,34.733333333333334
600,2019-09-27,24,Extreme Fear,8251.845703125,174.71099853515625,2961.7900390625,34.46666666666667
601,2019-09-28,32,Fear,8245.9150390625,174.57289123535156,,34.86666666666667
602,2019-09-29,33,Fear,8104.185546875,170.50347900390625,,35.166666666666664
603,2019-09-30,27,Fear,8293.8681640625,179.87220764160156,2976.739990234375,35.4
340,2019-10-01,38,Fear,8343.2763671875,177.34042358398438,2940.25,35.86666666666667
371,2019-10-02,39,Fear,8393.0419921875,180.71051025390625,2887.610107421875,36.233333333333334
399,2019-10-03,37,Fear,8259.9921875,175.1993408203125,2910.6298828125,36.1
430,2019-10-04,30,Fear,8205.939453125,176.98500061035156,2952.010009765625,35.666666666666664
460,2019-10-05,31,Fear,8151.50048828125,176.3515167236328,,35.333333333333336
491,2019-10-06,32,Fear,7988.15576171875,173.05914306640625,,34.96666666666667
521,2019-10-07,27,Fear,8245.623046875,181.18634033203125,2938.7900390625,34.56666666666667
552,2019-10-08,39,Fear,8228.783203125,182.0215606689453,2893.06005859375,34.43333333333333
583,2019-10-09,37,Fear,8595.740234375,193.2932586669922,2919.39990234375,34.3
613,2019-10-10,41,Fear,8586.4736328125,191.65966796875,2938.1298828125,34.3
644,2019-10-11,39,Fear,8321.7568359375,182.56968688964844,2970.27001953125,34.333333333333336
674,2019-10-12,38,Fear,8336.5556640625,180.82664489746094,,34.3
616,2019-10-13,38,Fear,8321.005859375,182.0751495361328,,34.3
617,2019-10-14,37,Fear,8374.6865234375,186.96090698242188,2966.14990234375,34.233333333333334
618,2019-10-15,39,Fear,8205.369140625,181.40606689453125,2995.679931640625,34.266666666666666
619,2019-10-16,40,Fear,8047.52685546875,176.0135040283203,2989.68994140625,34.333333333333336
620,2019-10-17,40,Fear,8103.9111328125,178.02835083007812,2997.949951171875,34.3
621,2019-10-18,40,Fear,7973.20751953125,173.621337890625,2986.199951171875,34.36666666666667
622,2019-10-19,41,Fear,7988.560546875,172.91302490234375,,34.7
623,2019-10-20,37,Fear,8222.078125,175.5343780517578,,34.56666666666667
624,2019-10-21,37,Fear,8243.720703125,174.92098999023438,3006.719970703125,34.56666666666667
625,2019-10-22,39,Fear,8078.203125,172.3008575439453,2995.989990234375,34.63333333333333
626,2019-10-23,33,Fear,7514.671875,162.4027862548828,3004.52001953125,34.36666666666667
627,2019-10-24,20,Extreme Fear,7493.48876953125,162.16854858398438,3010.2900390625,33.733333333333334
