,Date,Wallet Balance,BTC Buy/Sell (BTC)
222,2021-02-20,4875094530,505.0
223,2021-02-24,443626353343834318024325797186,2900.0
224,2021-03-01,27722825932762264738,581.0
225,2021-03-03,469846106347001161664665546338,2840.0000099999997
226,2021-03-07,3887914925,9.0
227,2021-03-09,5329555731,-1500.005
228,2021-03-11,6818030268,7.77e-06
229,2021-03-12,65244991766526009394,2.577e-05
230,2021-03-15,5806645406,8.35e-06
231,2021-03-16,5238876484,5.47e-06
232,2021-03-17,5480968358,690.0
233,2021-03-23,5380394684,921.0
234,2021-03-24,53917867185419564925,1650.0001
235,2021-03-27,5487522802,264.0
236,2021-03-31,5778190429,5.47e-06
237,2021-04-01,2555951817,4.77e-05
238,2021-04-05,5883142901,5.47e-06
239,2021-04-11,6767631868,7.77e-06
240,2021-04-12,5474697324,7.77e-06
241,2021-04-14,6204882305,-1500.005
242,2021-04-18,5375193661,0.00010353
243,2021-04-20,544967514954660233285420206389,1650.00000547
244,2021-04-21,5589786225,581.0
245,2021-04-23,51692189485191747714,966.00017329
246,2021-04-24,50658564625130048996,1536.00010269
247,2021-04-27,5640319639,2227.0
248,2021-05-01,2807297880279195517127745772052808297927278842575727687151502749166106,4976.0
249,2021-05-02,3183443158,-1500.005
250,2021-05-05,56289623655669195794,-1500.0049000000001
251,2021-05-11,67184121246693202677,8.818e-05
252,2021-05-12,5716373535,7.77e-06
253,2021-05-15,4989021618,753.0
254,2021-05-18,4507104867,965.0
255,2021-05-19,4292255454,1803.0
256,2021-05-21,4332089904,1380.0
257,2021-05-22,382511127139957746833955463859,2026.0005
258,2021-05-24,34549962153566163494,0.00043544
259,2021-05-25,41895443824060452320,988.00037317
260,2021-05-27,4106231765,139.0
261,2021-05-28,4075527943,24.0
262,2021-06-03,4699764316,2.045e-05
263,2021-06-06,3917270573,0.00013505
264,2021-06-10,5499119766,-3000.01
265,2021-06-11,66202610736624240753,423.00000777
266,2021-06-12,5647085644,7.77e-06
267,2021-06-13,40054709354004586650,0.00032339
268,2021-06-15,4501548259,-1500.005
269,2021-06-17,4312624633,3.673e-05
270,2021-06-18,41751425184187226269,0.00030000000000000003
271,2021-06-22,3658235241,1062.0
272,2021-06-24,3813487360,3044.0
273,2021-06-25,4020453468,0.0002
274,2021-06-26,35538158373575131104,0.00333115
275,2021-06-27,3723028215,6.942e-05
276,2021-06-29,4016190698,404.0
277,2021-07-01,3344024677,800.0
278,2021-07-03,4676848949,2.113e-05
